🔍 Verificando videos antes del entrenamiento...
📂 Directorio de videos: /content/drive/MyDrive/LSB_TAD/data/videos
✅ Directorio encontrado
📹 Videos encontrados: 1448

📋 Verificando cada video:
  ✅ GALLINA.mp4: 72 frames, 600x480, 30.0 fps
  ✅ GALLO.mp4: 69 frames, 600x480, 30.0 fps
  ✅ PEZ.mp4: 72 frames, 600x480, 30.0 fps
  ✅ PATO.mp4: 72 frames, 600x480, 30.0 fps
  ✅ CHANCHO.mp4: 70 frames, 600x480, 30.0 fps
  ✅ CONEJO.mp4: 76 frames, 600x480, 30.0 fps
  ✅ CABALLO.mp4: 82 frames, 600x480, 30.0 fps
  ✅ OVEJA.mp4: 84 frames, 600x480, 30.0 fps
  ✅ LLAMA.mp4: 103 frames, 600x480, 30.0 fps
  ✅ ANIMALES.mp4: 100 frames, 600x480, 30.0 fps
  ✅ TORO.mp4: 72 frames, 600x480, 30.0 fps
  ✅ Z.mp4: 92 frames, 600x480, 30.0 fps
  ✅ ALFABETO.mp4: 195 frames, 600x480, 30.0 fps
  ✅ B.mp4: 59 frames, 600x480, 30.0 fps
  ✅ G.mp4: 60 frames, 600x480, 30.0 fps
  ✅ H.mp4: 76 frames, 600x480, 30.0 fps
  ✅ LL.mp4: 66 frames, 600x480, 30.0 fps
  ✅ K.mp4: 55 frames, 600x480, 30.0 fps
  ✅ M.mp4: 67 frames, 600x480, 30.0 fps
  ✅ N.mp4: 83 frames, 600x480, 30.0 fps
  ✅ R.mp4: 73 frames, 600x480, 30.0 fps
  ✅ Ñ.mp4: 66 frames, 600x480, 30.0 fps
  ✅ RR.mp4: 66 frames, 600x480, 30.0 fps
  ✅ U.mp4: 75 frames, 600x480, 30.0 fps
  ✅ V.mp4: 59 frames, 600x480, 30.0 fps
  ✅ W.mp4: 67 frames, 600x480, 30.0 fps
  ✅ X.mp4: 67 frames, 600x480, 30.0 fps
  ✅ O.mp4: 77 frames, 600x480, 30.0 fps
  ✅ A.mp4: 57 frames, 600x480, 30.0 fps
  ✅ C.mp4: 76 frames, 600x480, 30.0 fps
  ✅ CH.mp4: 97 frames, 600x480, 30.0 fps
  ✅ E.mp4: 76 frames, 600x480, 30.0 fps
  ✅ D.mp4: 70 frames, 600x480, 30.0 fps
  ✅ I.mp4: 62 frames, 600x480, 30.0 fps
  ✅ F.mp4: 67 frames, 600x480, 30.0 fps
  ✅ J.mp4: 61 frames, 600x480, 30.0 fps
  ✅ P.mp4: 76 frames, 600x480, 30.0 fps
  ✅ L.mp4: 58 frames, 600x480, 30.0 fps
  ✅ S.mp4: 59 frames, 600x480, 30.0 fps
  ✅ Q.mp4: 69 frames, 600x480, 30.0 fps
  ✅ T.mp4: 70 frames, 600x480, 30.0 fps
  ✅ Y.mp4: 63 frames, 600x480, 30.0 fps
  ✅ LA_PAZ.mp4: 96 frames, 600x480, 30.0 fps
  ✅ SANTA_CRUZ.mp4: 102 frames, 600x480, 30.0 fps
  ✅ COCHABAMBA.mp4: 96 frames, 600x480, 30.0 fps
  ✅ ORURO.mp4: 87 frames, 600x480, 30.0 fps
  ✅ TARIJA.mp4: 89 frames, 600x480, 30.0 fps
  ✅ BENI.mp4: 97 frames, 600x480, 30.0 fps
